question_index,rerank_avg_percentile,rerank_min_percentile,rerank_max_percentile,embedding_avg_percentile,embedding_min_percentile,embedding_max_percentile,avg_percentile,gold_chunk_count
0,0.15,0.1,0.2,0.15,0.1,0.2,0.15,2
1,0.367,0.1,0.8,0.333,0.1,0.7,0.35,3
2,0.233,0.1,0.4,0.233,0.1,0.4,0.233,3
3,0.2,0.1,0.3,0.2,0.1,0.3,0.2,3
4,0.2,0.1,0.3,0.233,0.1,0.4,0.217,3
5,0.2,0.1,0.3,0.2,0.1,0.3,0.2,3
6,0.2,0.1,0.3,0.2,0.1,0.3,0.2,3
7,0.333,0.2,0.5,0.3,0.1,0.6,0.317,3
8,0.2,0.1,0.3,0.2,0.1,0.3,0.2,3
9,0.2,0.1,0.3,0.267,0.1,0.5,0.233,3
10,0.6,0.2,1.0,0.467,0.3,0.7,0.533,3
11,0.222,0.083,0.417,0.278,0.083,0.583,0.25,3
13,0.2,0.1,0.3,0.2,0.1,0.3,0.2,3
14,0.233,0.1,0.4,0.267,0.1,0.5,0.25,3
15,0.275,0.1,0.5,0.275,0.1,0.5,0.275,4
16,0.2,0.1,0.3,0.2,0.1,0.3,0.2,3
17,0.2,0.1,0.3,0.367,0.1,0.7,0.283,3
18,0.15,0.1,0.2,0.2,0.1,0.3,0.175,2
19,0.2,0.1,0.3,0.233,0.1,0.4,0.217,3
20,0.2,0.1,0.3,0.2,0.1,0.3,0.2,3
