question_index,rerank_avg_percentile,rerank_min_percentile,rerank_max_percentile,embedding_avg_percentile,embedding_min_percentile,embedding_max_percentile,avg_percentile,gold_fact_count
0,0.164,0.02,0.48,0.272,0.02,0.66,0.218,5
1,0.118,0.029,0.3,0.3,0.014,0.543,0.209,4
2,0.071,0.024,0.119,0.113,0.024,0.167,0.092,4
3,0.043,0.016,0.081,0.038,0.016,0.065,0.04,3
5,0.562,0.562,0.562,0.188,0.188,0.188,0.375,1
6,0.162,0.021,0.333,0.196,0.021,0.5,0.179,5
7,0.096,0.011,0.233,0.081,0.011,0.2,0.089,3
8,0.049,0.021,0.083,0.083,0.042,0.146,0.066,3
9,0.038,0.019,0.057,0.189,0.057,0.377,0.113,3
10,0.069,0.021,0.104,0.201,0.021,0.5,0.135,3
11,0.183,0.014,0.338,0.237,0.056,0.338,0.21,7
13,0.093,0.023,0.186,0.109,0.023,0.209,0.101,3
14,0.098,0.049,0.148,0.262,0.016,0.705,0.18,4
16,0.136,0.015,0.242,0.288,0.015,0.773,0.212,4
17,0.176,0.019,0.472,0.327,0.019,0.585,0.252,3
18,0.164,0.031,0.344,0.219,0.031,0.438,0.191,4
19,0.145,0.018,0.527,0.225,0.018,0.836,0.185,5
20,0.052,0.02,0.098,0.15,0.02,0.353,0.101,3
